,number,value,datetime_start,datetime_complete,duration,params_lr,params_patch_size,params_transformer_heads,state
0,0,0.03602475891113281,2022-04-09 13:26:44.711241,2022-04-09 13:31:50.133639,0 days 00:05:05.422398,5.8547267398406626e-05,4,15,COMPLETE
1,1,0.041156524658203124,2022-04-09 13:31:50.231489,2022-04-09 13:33:08.213028,0 days 00:01:17.981539,0.0003026558517536317,2,14,COMPLETE
